"filename", "language", "Go", "Markdown", "XML", "Go Checksum File", "comment", "blank", "total"
"d:\Coding\go-gqlrest\README.md", "Markdown", 0, 3, 0, 0, 0, 3, 6
"d:\Coding\go-gqlrest\client\client.go", "Go", 154, 0, 0, 0, 45, 35, 234
"d:\Coding\go-gqlrest\client\errors.go", "Go", 8, 0, 0, 0, 1, 4, 13
"d:\Coding\go-gqlrest\client\options.go", "Go", 31, 0, 0, 0, 6, 7, 44
"d:\Coding\go-gqlrest\go.mod", "XML", 0, 0, 9, 0, 0, 3, 12
"d:\Coding\go-gqlrest\go.sum", "Go Checksum File", 0, 0, 0, 103, 0, 1, 104
"d:\Coding\go-gqlrest\handlerx\httpdelete.go", "Go", 42, 0, 0, 0, 5, 15, 62
"d:\Coding\go-gqlrest\handlerx\httpget.go", "Go", 69, 0, 0, 0, 5, 19, 93
"d:\Coding\go-gqlrest\handlerx\httpoptions.go", "Go", 19, 0, 0, 0, 1, 7, 27
"d:\Coding\go-gqlrest\handlerx\httppost.go", "Go", 65, 0, 0, 0, 5, 16, 86
"d:\Coding\go-gqlrest\handlerx\mapping.go", "Go", 161, 0, 0, 0, 24, 23, 208
"d:\Coding\go-gqlrest\handlerx\mapping_test.go", "Go", 1, 0, 0, 0, 0, 1, 2
"d:\Coding\go-gqlrest\handlerx\router.go", "Go", 1, 0, 0, 0, 25, 4, 30
"d:\Coding\go-gqlrest\handlerx\server.go", "Go", 26, 0, 0, 0, 0, 9, 35
"d:\Coding\go-gqlrest\handlerx\utils.go", "Go", 110, 0, 0, 0, 5, 19, 134
"d:\Coding\go-gqlrest\main.go", "Go", 22, 0, 0, 0, 2, 5, 29
"d:\Coding\go-gqlrest\restgen\rest.go", "Go", 182, 0, 0, 0, 34, 40, 256
"d:\Coding\go-gqlrest\restgen\utils\utils.go", "Go", 34, 0, 0, 0, 2, 7, 43
"Total", "-", 925, 3, 9, 103, 160, 218, 1418
